#カテゴリー,#レベル,#Q,#A,#タグ
AI導入方針・ルール,全レベル共通,01. なぜ無料版のChatGPTや未承認のAIツールを業務で使ってはいけないのですか？,未承認の無料ツールは、入力したデータが意図せずAIモデルの学習に利用されたり、広告目的で二次利用されたりするリスクがあるためです。,#AI導入 #AI活用 #ChatGPT #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,02. 会社推奨ツール以外のAIサービスを申請する場合、どのような条件を満たす必要がありますか？,データ保存領域が国内リージョンを選択できること、SLAが公表されていること、取り扱う業務において国内裁判所を指定できるサービスであることなどが条件になります。,#AI導入 #AI活用 #生成AI #申請 #社内ルール
AI導入方針・ルール,全レベル共通,03. AI活用の透明性はクライアントへどう確保すべきですか？,本格的にAIを活用する用途では、提案書・契約書の中に「生成AIを補助的に活用する」旨を明示し、同意を得るようにしてください。はい、本格的にAIを活用する用途では、提案書や契約書の中に「生成AIを補助的に活用する」旨を明記し、同意を得ることが推奨されます。透明性を確保し、信頼関係を優先する姿勢が大切です。本格的にAIを活用する用途では、提案書や契約書の中に「生成AIを補助的に活用する」旨を明記し、同意を得ることが原則です。,#AI導入 #AI活用 #提案 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,04. AIと効果的に付き合うための基本マインドセットは？,生成AIを「非常に優秀で素直な新入社員」だと考え、曖昧な指示ではなく、目的や背景を具体的に、丁寧に伝えることが大切です。AIを「非常に優秀で素直な新入社員」だと捉えてください。曖昧な指示ではなく、目的や背景を具体的に、丁寧に伝えることで、期待を超える成果が得られます。,#AI導入 #AI活用 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,05. 会社がAI導入を進める主な目的は何ですか？,業務の効率化やアウトプットの質の向上、情報整理の支援を目的として、生成AIを補助的に活用することです。AIは判断を「補う」ツールとして活用され、個人とチーム全体にゆとりが生まれることを目指しています。,#AI導入 #AI活用 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,06. 会社がAI導入で目指す主な目的は何ですか？,業務の効率化やアウトプットの質の向上、情報整理の支援を目的として、生成AIを補助的に活用することです。,#AI導入 #AI活用 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,07. AIを「単なる道具」ではなく「戦略的パートナー」として活用するためのスキルとは？,目的達成のために、専門性を持つ複数のAIアシスタントをどのように連携させ、協働させるかという、より高度で戦略的な思考フレームワークを習得することです。,#AI導入 #AI活用 #生成AI #社内ルール
コード改善と最適化,上級者,01. あるプログラミング言語で書かれたコードを、別の言語に移植（変換）することはできますか？,はい、可能です。「このPythonのデータ処理スクリプトを、機能的に等価なJavaScript（Node.js）のコードに変換してください。依存ライブラリも考慮してください」のように、変換元と変換先の言語、そして依存関係にも言及します。,#コード変換 #移植 #Python #JavaScript #上級者
コード改善と最適化,中級者,02. コードの可読性を上げるために、コメントを自動で追加させることはできますか？,はい。「このJavaScriptの関数について、JSDoc形式で各パラメータと返り値、そして関数の目的を説明するコメントを追加してください」と、コメントの形式を指定して依頼します。,#リファクタリング #コメント #ドキュメンテーション #可読性 #JavaScript
コード改善と最適化,中級者,03. パフォーマンスが悪いコードを高速化するための改善案を提案させるには？,「このSQLクエリは実行に時間がかかります。インデックスの追加やJOINの改善など、パフォーマンスを向上させるための具体的な方法を3つ提案してください」と、ボトルネックとなっている箇所と改善策の方向性を示唆しつつ依頼します。,#最適化 #パフォーマンス #高速化 #SQL #リファクタリング
コード改善と最適化,初心者,04. もっと効率的で「Pythonらしい」書き方（Pythonic）に修正してほしい時は？,「このPythonのforループは、よりPythonicなリスト内包表記で書き直すことができますか？」のように、具体的な改善の方向性（例: Pythonic、高速化）を示して依頼すると効果的です。,#リファクタリング #Python #Pythonic #コード改善 #初心者
コード生成と補完,上級者,01. 特定のデザインパターン（例: シングルトンパターン）を使ってクラスを設計してほしいのですが。,「Javaで、スレッドセーフなシングルトンパターンを実装したデータベース接続管理クラスを作成してください」のように、「言語」「使用するデザインパターン」「クラスの目的」を明確に指定して依頼します。,#コード生成 #デザインパターン #Java #設計 #上級者
コード生成と補完,中級者,02. APIから取得した複雑なJSONデータを処理するコードを生成するコツは？,まず、JSONデータのサンプルをAIに提示し、その構造を理解させます。その上で、「このJSON構造から、'user'オブジェクト内の'name'と'email'だけを抽出してリスト化してください」のように、具体的な抽出ルールを指示します。,#コード生成 #API #JSON #データ処理 #Python
コード生成と補完,中級者,03. 正規表現のパターンを生成してほしい時、どのように依頼すればいいですか？,「日本の郵便番号（XXX-XXXX形式）にマッチする正規表現を生成してください」や、「メールアドレスのフォーマットを検証する正規表現を、一般的な基準で作成してください」のように、マッチさせたい文字列の具体的なパターンやルールを伝えます。,#コード生成 #正規表現 #regex #バリデーション #中級者
コード生成と補完,初心者,04. 特定のライブラリ（例: Pandas）を使った基本的なコードを生成してほしい時、どう頼めばいいですか？,「Pandasを使ってCSVファイルを読み込み、特定の列（'年齢'）の平均値を計算するPythonコードを書いてください」のように、「ライブラリ名」「やりたいこと」「言語名」を具体的に指定します。,#コード生成 #Python #Pandas #初心者 #ライブラリ
コード生成と補完,初心者,05. 関数の仕様だけを伝えて、中身をAIに作ってもらうことはできますか？,はい、可能です。「引数として受け取った数値が偶数ならTrue、奇数ならFalseを返すPython関数を書いてください」のように、関数の入力（引数）と出力（返り値）を明確に定義して依頼します。,#コード生成 #関数 #Python #仕様 #初心者
セキュリティとベストプラクティス,上級者,01. TerraformやAnsibleなど、IaC（Infrastructure as Code）の構成ファイルを生成させることはできますか？,はい、可能です。「Terraformを使って、AWS上にVPC、サブネット、EC2インスタンス（t2.micro）を1台作成するためのHCLコードを生成してください」のように、ツール名と作成したいインフラの構成を具体的に指示します。,#IaC #Terraform #Ansible #AWS #DevOps
セキュリティとベストプラクティス,中級者,02. SQLインジェクションの脆弱性がないか、AIにコードをチェックさせることはできますか？,はい、チェックの一助にはなります。「このPHPコードには、ユーザー入力を直接SQLクエリに埋め込んでおり、SQLインジェクションの脆弱性がある可能性があります。問題点を指摘し、プリペアドステートメントを使った安全なコードに修正してください」と依頼します。,#セキュリティ #SQLインジェクション #脆弱性診断 #コードレビュー #PHP
セキュリティとベストプラクティス,中級者,03. AIが生成したコードのライセンスはどうなりますか？,AIツールの利用規約によりますが、多くの場合、生成されたコードの著作権はユーザーに譲渡されます。しかし、AIが学習データに含まれる既存のオープンソースコードをほぼそのまま出力した場合、意図せずライセンス違反となるリスクもゼロではありません。,#ライセンス #著作権 #コンプライアンス #OSS #法務
セキュリティとベストプラクティス,中級者,04. より質の高いコードを生成させるための、プロンプトのコツはありますか？,「あなたはクリーンアーキテクチャを重視する経験20年のシニアソフトウェアエンジニアです」といった役割設定に加え、「変数名は分かりやすく」「マジックナンバーは使わない」などのコーディング規約を先に指示しておくと、生成されるコードの質が向上します。,#プロンプト #コーディング規約 #品質向上 #ベストプラクティス #エンジニアリング
セキュリティとベストプラクティス,全レベル共通,05. AIにコードを渡す際、APIキーやパスワードなどの機密情報はどうすればいいですか？,絶対に直接貼り付けてはいけません。機密情報は「'YOUR_API_KEY'」のようなダミーの文字列に置き換えてから、AIにコードを提示してください。これは情報漏洩を防ぐための最も重要なルールです。,#セキュリティ #機密情報 #APIキー #情報漏洩 #ベストプラクティス
セキュリティとベストプラクティス,全レベル共通,06. AIが生成したコードを、そのまま本番環境で使っても安全ですか？,いいえ、安全ではありません。AIは脆弱性のあるコードを生成する可能性があります。必ず人間の専門家がコードレビューを行い、セキュリティ上の問題がないか検証してから使用してください。,#セキュリティ #脆弱性 #コードレビュー #品質保証 #リスク管理
セキュリティ＆コンプライアンス,中級者,01. 業務で使える安全なAIツールは具体的に何ですか？,会社が法人契約を結び、安全性を確認したツール（例：ChatGPT Enterprise、Google Gemini Advanced、Microsoft 365 Copilotなど）に利用が限られます。,#AI活用 #ChatGPT #Copilot #Gemini #コンプライアンス #セキュリティ #生成AI
セキュリティ＆コンプライアンス,全レベル共通,02. 機密文書や社内ナレッジを安全に分析するには、どのツールが推奨されますか？,NotebookLMを推奨します。提供した資料の範囲内でのみ応答する「ウォールドガーデン（閉じた環境）」のため、外部データへ依存せずに要約・検索・分析ができ、情報漏洩リスクを最小限に抑えられます。機密性の高い文書や過去の社内ナレッジの分析にも適しています。,#AI活用 #NotebookLM #コンプライアンス #セキュリティ #情報漏洩 #生成AI #NDA #プロンプト
セキュリティ＆コンプライアンス,全レベル共通,03. 会社がAI利用に制限を設け、特定の情報入力が禁止されている主な理由は？,AIに渡した情報が、意図せず記録・学習される可能性をゼロにすることは難しく、情報漏洩の重大なリスクとなるためです。,#AI活用 #コンプライアンス #セキュリティ #情報漏洩 #生成AI
セキュリティ＆コンプライアンス,全レベル共通,04. どのような情報が「入力禁止」に該当しますか？,氏名、連絡先、社員番号など個人を特定できる情報、NDA（秘密保持契約）が交わされているクライアントの機密情報、社外秘の経営情報や医療情報などは一切入力禁止です。,#AI活用 #NDA #コンプライアンス #セキュリティ #生成AI
セキュリティ＆コンプライアンス,全レベル共通,05. 業務の相談をしたい場合、機密情報を「一般化・抽象化」する具体的な方法とは？,具体的な企業名や個人名を伏せ、「ある製薬会社が新薬のマーケティング戦略で悩んでいます」のように、情報を一般化・抽象化して入力してください。,#AI活用 #コンプライアンス #セキュリティ #生成AI
セキュリティ＆コンプライアンス,全レベル共通,06. クライアントデータ（例：売上データ）をAIに入力する際の「OK/NG」の判断基準は？,会社名などが特定できないよう処理した数値データや、個人情報を削除した集計データは「入力OK」ですが、会社・プロジェクトごとの詳細がすべて分かるデータは「入力しない」が原則です。,#AI活用 #コンプライアンス #セキュリティ #個人情報 #生成AI
セキュリティ＆コンプライアンス,全レベル共通,07. 自分が書いたメール文案をAIで添削しても、情報漏洩の心配はないですか？,会社が法人契約している安全なサービスであれば、入力情報が第三者に公開されたり、モデルの学習に使用されたりしない仕組みによって情報が保護されています。,#AI活用 #コンプライアンス #セキュリティ #情報漏洩 #生成AI
セキュリティ＆コンプライアンス,全レベル共通,08. AIが生成した文章や画像に著作権の問題はありますか？,生成AIが返してくる内容にも、クライアントの業務に使われるデータと同様の責任が生じ、著作権に関する配慮が必要です。AIが生成したコンテンツについても、著作権に関する配慮が必要です。III. 使い方とプロンプトの基本ルール。,#AI活用 #コンプライアンス #セキュリティ #生成AI #著作権 #プロンプト
セキュリティ＆コンプライアンス,全レベル共通,09. 業務で使うAIツールは、会社支給の端末のみで使えばよいですか？,はい、会社支給の端末で、承認されたツールのみを使用してください。個人のスマートフォンや個人アカウントでツールにログインすることは禁止されています,#AI活用 #コンプライアンス #セキュリティ #プロンプト #生成AI
セキュリティ＆コンプライアンス,全レベル共通,10. どのような情報をAIに入力してはいけませんか？,氏名、連絡先、社員番号など個人を特定できる情報、NDAが交わされているクライアントの機密情報、社外秘の経営情報や人事情報、医療情報やカルテデータなどは一切入力禁止です。,#AI活用 #NDA #コンプライアンス #セキュリティ #生成AI
セキュリティ＆コンプライアンス,全レベル共通,11. 社内でのAI利用はどの程度進んでいるのでしょうか？,多くの社員が既に週に数回、あるいはほぼ毎日、生成AIツールを業務に活用しています。特に「個人での業務利用（文書作成やアイデア出しなど）」の回答率が高い傾向にあります,#AI活用 #コンプライアンス #セキュリティ #生成AI
セキュリティ＆コンプライアンス,全レベル共通,12. 会社で絶対にAIに入力してはいけない情報はありますか？,はい、クライアントから預かった非公開データ、個人情報（氏名、連絡先など）、社外秘の経営情報や人事情報などは、非公式なAIサービス（ChatGPT無料版など）への直接入力が禁止されています。,#AI活用 #ChatGPT #コンプライアンス #セキュリティ #個人情報 #生成AI
セキュリティ＆コンプライアンス,全レベル共通,13. なぜ機密情報をAIに入力してはいけないのですか？,入力情報がAIモデルの学習データとして利用される可能性があり、情報漏洩の重大なリスクとなるためです。,#AI活用 #コンプライアンス #セキュリティ #情報漏洩 #生成AI
セキュリティ＆コンプライアンス,全レベル共通,14. AIに業務の相談をしたい場合、機密情報はどう扱えばいいですか？,具体的な企業名や製品名、個人名を伏せ、「ある製薬会社が新薬のマーケティング戦略で悩んでいます」のように、情報を一般化・抽象化して入力してください。,#AI活用 #コンプライアンス #セキュリティ #生成AI
セキュリティ＆コンプライアンス,全レベル共通,15. 企画に対する上層部からの指摘事項を予測し、事前に弱点を検証するためのプロンプト技法は？,アイデアを審査・検討する人からの指摘を予測する「ダメ出しの模擬」（技法31）プロンプトを利用し、一般的な大企業の評価軸を援用して検証できます,#AI活用 #コンプライアンス #セキュリティ #プロンプト #生成AI
セキュリティ＆コンプライアンス,全レベル共通,16. 業務で扱う機密性の高い情報（社内データ、顧客情報）は、どこまでAIに入力して良いですか？,顧客情報のうち、社外の人でも知り得る公開された情報は入力OKです。しかし、会社名などが特定できないよう処理した数値データは入力OKですが、会社・プロジェクトごとの詳細がすべて分かる売上データは入力禁止です。,#AI活用 #コンプライアンス #セキュリティ #生成AI
セキュリティ＆コンプライアンス,全レベル共通,17. 個人情報やNDAが交わされたクライアントの機密情報をAIに入力しても安全な方法はありますか？,氏名、連絡先、社員番号などの個人特定情報、NDA機密情報は、一切入力禁止です。AIに業務の相談をしたい場合は、具体的な企業名や個人名を伏せ、情報を一般化・抽象化して入力してください。,#AI活用 #NDA #コンプライアンス #セキュリティ #個人情報 #生成AI
セキュリティ＆コンプライアンス,全レベル共通,18. 社外秘データを取り扱う際に、会社が安全と認めているAIサービスは、どのような仕組みで情報を守っていますか？,会社が法人契約を結んだ安全なサービスでは、入力情報が第三者に公開されたり、モデルの学習に使用されたりしない仕組みによって情報が保護されています,#AI活用 #コンプライアンス #セキュリティ #生成AI
ツール選定・機能,中級者,01. 業務で生成AIを使用する場合、どのような申請が必要ですか？,Microsoft CopilotやGoogle Geminiなど、会社として業務ツールの一部となっているもの以外は、有料アカウントのChatGPTを含め、事前に社内ワークフローシステム「楽楽精算」より申請が必要です。,#AI活用 #ChatGPT #Copilot #Gemini #ツール選定 #ワークフロー #生成AI #申請
ツール選定・機能,中級者,02. 汎用的なChatGPTとカスタムGPT（カスタムBot）の違いは何ですか？,ChatGPTはカスタマイズせず、検索や簡単な相談に使う「汎用的なAIチャットツール」です。一方、カスタムGPTは、特定のタスク（例：医療翻訳、議事録要約）に合わせてチームが指示やノウハウをチューニング（調整）した専用GPTで、より精度の高いアウトプットが得られます。,#AI活用 #ChatGPT #カスタムGPT #ツール選定 #生成AI #翻訳 #要約
ツール選定・機能,中級者,03. カスタムGPTを構築するメリットは何ですか？,独自ルールやナレッジを組み込むことで誤回答を大幅に低減でき、自部門・自業務に最適化された情報と対応が可能になります。また、書き起こしやCA（コンテント分析）などの納品物の質を統一できるというメリットもあります。,#AI活用 #カスタムGPT #ツール選定 #書き起こし #生成AI
ツール選定・機能,中級者,04. レポート作成や分析業務の効率化にはどの程度役立ちますか？,カスタムGPTを活用することで、書き起こしを読み込ませ、要約・分類のたたき台作成（案件により-3〜6時間）や、報告書のテキストベース部分の下書き自動生成（案件により-6〜10時間）が可能です。,#AI活用 #カスタムGPT #ツール選定 #報告書 #書き起こし #生成AI #要約
ツール選定・機能,中級者,05. 膨大なインタビューの書き起こしテキストを効率的に要約・分析するためのAI活用法は何ですか？,書き起こしを読み込ませたカスタムGPTを利用することで、要約・分類のたたき台作成が可能となり、案件によっては3〜6時間の工数削減が可能です。,#AI活用 #カスタムGPT #ツール選定 #書き起こし #生成AI #要約
ツール選定・機能,中級者,06. 報告書作成において、AIはどの程度の時間削減に貢献できますか？,カスタムGPTを活用することで、報告書のテキストベース部分の下書きを自動生成でき、案件によって6〜10時間の削減効果があります。,#AI活用 #カスタムGPT #ツール選定 #報告書 #生成AI
ツール選定・機能,中級者,07. クライアントへの提案アイデアを客観的なデータで検証し、最新の市場データを収集するにはどうすればいいですか？,Gemini（主席リサーチ・アナリスト）のDeep Research機能を使用し、最新の市場データ、統計、競合の動向を収集します。これにより出典URLが明記されるため、ファクトチェックが容易になります。,#AI活用 #DeepResearch #Gemini #ツール選定 #ファクトチェック #出典 #提案 #生成AI
ツール選定・機能,中級者,08. 複数言語で書かれた海外のレポート群を、言語の壁を越えて横断的に分析するにはどうすればよいですか？,Gemini（主席リサーチ・アナリスト）の持つ巨大なコンテキストウィンドウ（100万トークン以上）を活用し、複数言語で書かれた文書群を一度に読み込ませて分析することで、グローバルなインサイトを抽出できます。,#AI活用 #Gemini #ツール選定 #生成AI
ツール選定・機能,中級者,09. AIの生成する誤情報（ハルシネーション）のリスクを軽減する具体的な対策は？,複数のAIサービス（例：ChatGPTとGemini）を使って同じ質問を投げかけ、回答を比較することで情報の正確性を検証する、という手法が有効です。,#AI活用 #ChatGPT #Gemini #ツール選定 #ハルシネーション #生成AI
ツール選定・機能,中級者,10. 医療分野など専門性の高い翻訳業務の品質を統一し、外注コストを削減するにはどうすればいいですか？,社内で承認された専門用語集やノウハウをアップロードし、カスタムGPTを構築します。これにより翻訳品質のばらつきをなくし、外注費の恒常的な削減（B3チームの事例では一件あたり最大9〜12万円/20万円の削減）を達成しています。,#AI活用 #カスタムGPT #ツール選定 #生成AI #翻訳
ツール選定・機能,中級者,11. スクリーナーの国内適合性をチェックする作業をAIに任せると、どの程度の時間削減ができますか？,カスタムGPTを用いることで、スクリーナーの国内適合性の確認や注意点の自動リスト化により、初期見解の即時取得や国内基準との整合性チェックにかかる時間を20〜90分程度削減できます。,#AI活用 #カスタムGPT #スクリーナー #ツール選定 #生成AI
ツール選定・機能,中級者,12. 自分の業務に特化したAIを「カスタムGPT」として構築するメリットは何ですか？,独自ルールやナレッジを組み込むことで誤回答を大幅に低減でき、自部門・自業務に最適化された情報と対応が可能になります。また、書き起こしやCA（コンテント分析）などの納品物の質を統一できるというメリットがあります。,#AI活用 #カスタムGPT #ツール選定 #書き起こし #生成AI
ツール選定・機能,中級者,13. 顧客インタビューの文字起こしやアンケートの自由回答など、大量のテキストを読み込ませ、要約・分類のたたき台を自動生成させたい場合は？,カスタムGPTに書き起こしを読み込ませ、**「調査目標ごとに下書きを担当」**させることで、案件により3〜6時間の削減が可能です。,#AI活用 #カスタムGPT #ツール選定 #書き起こし #生成AI #要約
ツール選定・機能,中級者,14. 複数の海外レポートを一度に分析し、共通のテーマや著者間で意見が対立している論点を特定したい場合は？,Geminiの100万トークン以上のコンテキストウィンドウを活用し、**「これら20本のドキュメントを横断的に分析し、すべての文書に共通するテーマ、および著者間で意見が対立している論点を特定してください」**といったプロンプトを使用します。,#AI活用 #Gemini #ツール選定 #プロンプト #生成AI
ツール選定・機能,中級者,15. 翻訳品質のばらつきをなくし、統一された用語（例：「stimuli→提示物」）で出力させるためには、どうすればよいですか？,チームで統一された訳語やノウハウをナレッジベースとしてカスタムGPTに学習させ、**「アップロードされた用語集を厳守し、日本の医師が読んでも自然な表現で翻訳してください」**と指示します。,#AI活用 #カスタムGPT #ツール選定 #生成AI #翻訳
ツール選定・機能,中級者,16. 海外からのRFQ（見積依頼）が届いた際、対象者のリクルート可否や国内適合性の初期見解を迅速に得るには？,ChatGPTにより初期見解を即座に取得できます。また、カスタムGPTを使って国内基準との整合性を自動チェックし、注意点をリスト化できます。,#AI活用 #ChatGPT #カスタムGPT #ツール選定 #生成AI
ツール選定・機能,中級者,17. 複数のインタビュー書き起こしから、個票（ケースレポート）の作成時間を大幅に短縮したい場合のAI活用法は？,専門用語が多い作業であっても、カスタムGPTで自動化・大幅に時短が可能となります（1個票につき-2時間）。,#AI活用 #カスタムGPT #ツール選定 #個票 #書き起こし #生成AI
デバッグとエラー解析,中級者,01. エラーメッセージが出ないのに、意図した通りに動かない「論理エラー」を見つけるには？,コードの目的と、期待する出力、そして現在の「間違った出力」を具体的に提示します。その上で、「期待する結果は[A]ですが、[B]になってしまいます。コードのどこに論理的な誤りがあるか指摘してください」と依頼します。,#デバッグ #論理エラー #トラブルシューティング #中級者 #コードレビュー
デバッグとエラー解析,中級者,02. 特定の行でなぜ変数の値がおかしくなるのか、ステップごとに追跡させることはできますか？,はい。「この関数の実行プロセスをステップバイステップで説明し、ループの各段階で変数'count'の値がどのように変化するかを追跡してください」と依頼することで、AIにデバッガのように振る舞わせることができます。,#デバッグ #変数 #ステップ実行 #トレース #中級者
デバッグとエラー解析,初心者,03. コードを貼り付けて「バグを直して」と頼むだけで十分ですか？,不十分です。「このPythonコードを実行すると、'IndexError: list index out of range' というエラーが出ます。原因と修正案を教えてください」のように、コード、発生したエラーメッセージ、そして可能であれば「何がしたかったのか」という目的をセットで伝えると、的確な回答が得られます。,#デバッグ #エラー解析 #プロンプト #初心者 #トラブルシューティング
プロジェクト運用（メモリー・カスタム指示・プロジェクト）,中級者,01. 過去の会話内容や個人のスタイルを長期的にAIに記憶させる方法はありますか？,**「メモリー機能」**を利用することで、ChatGPTに記憶させた情報は長期的に保持され、アカウントに紐づいて次回以降のセッションでも活用されます。,#AI活用 #ChatGPT #プロジェクト #メモリー #生成AI
プロジェクト運用（メモリー・カスタム指示・プロジェクト）,全レベル共通,02. AIは過去の会話の内容を覚えていますか？,長時間の対話では、AIの記憶（コンテキスト）は減衰することがあります。ChatGPTの「プロジェクト」機能や「メモリ」機能を利用することで、プロジェクト全体の文脈を永続的に維持させることが可能です。,#AI活用 #ChatGPT #プロジェクト #メモリー #生成AI
プロジェクト運用（メモリー・カスタム指示・プロジェクト）,全レベル共通,03. 長期間にわたるプロジェクトで、AIにそのプロジェクト固有の文脈や指示を忘れさせないようにするには？,ChatGPTの「プロジェクト」機能を使用し、関連するチャットやファイルを専用ワークスペースに集約することで、AIは常にプロジェクト全体の文脈を維持した状態で応答できます。,#AI活用 #ChatGPT #プロジェクト #メモリー #生成AI
プロジェクト運用（メモリー・カスタム指示・プロジェクト）,全レベル共通,04. AIに、単なる事実だけでなく、論理の欠陥や次のステップを積極的に提案させるにはどうすればいいですか？,カスタム指示（Custom Instruction）でAIの応答スタイルを定義する際に、「私の推論における次のステップや潜在的な盲点を積極的に提案してください」と指示することが有効です。,#AI活用 #カスタム指示 #プロジェクト #メモリー #提案 #生成AI
プロジェクト運用（メモリー・カスタム指示・プロジェクト）,全レベル共通,05. 長期間のプロジェクトで、AIが過去のチャット内容やプロジェクト固有の背景を忘れないようにするには？,ChatGPTの**「プロジェクト」**機能を使用し、チャットやファイルを専用ワークスペースに集約することで、AIはプロジェクト全体の文脈を維持した状態で応答できます。,#AI活用 #ChatGPT #プロジェクト #メモリー #生成AI
プロンプト上級テクニック（CoT・メタ認知）,上級者,01. 複雑な分析を依頼する際に有効な「思考の連鎖 (Chain of Thought: CoT)」とは何ですか？,AIに「ステップバイステップで考えてください」と指示し、タスクを複数の手順に分解して依頼することで、結論に至るまでの論理的な正確性を格段に向上させる手法です。,#AI活用 #CoT #上級テク #生成AI
プロンプト上級テクニック（CoT・メタ認知）,上級者,02. 複雑な分析を依頼する際の上級テクニックは何ですか？,**思考の連鎖（Chain of Thought: CoT）**テクニックです。AIに「ステップバイステップで考えてください」と指示することで、結論に至るまでの思考プロセスを明示させ、論理の飛躍や誤りを減らすことができます。,#AI活用 #CoT #上級テク #生成AI
プロンプト上級テクニック（CoT・メタ認知）,上級者,03. 複雑な分析や多段階の依頼をする際のコツは何ですか？,タスクを複数の手順に分解し、「ステップバイステップで考えてください」と指示する**「思考の連鎖（Chain of Thought: CoT）」**という手法が有効です。これにより論理的な正確性が向上します,#AI活用 #CoT #上級テク #生成AI
プロンプト上級テクニック（CoT・メタ認知）,上級者,04. 複雑で多岐にわたるレポート作成タスクをAIに依頼する際、論理的な破綻を防ぐ方法は？,タスクを複数の手順に分解して指示する「思考の連鎖（Chain of Thought: CoT）」テクニックを使用します。これにより、AIは論理の飛躍や誤りを大幅に削減できます。,#AI活用 #CoT #上級テク #生成AI
